              String|    Number|   Decimal|         Result
---------------------------------------------------------
             Seville|         1|   88.2733|       7326.684
              Celica|         1|   77.4299|       5187.803
            Cherokee|         1|   69.7252|      4671.5884
              S-Type|         1|   45.2105|      3752.4714
             Impreza|         1|    79.368|       5793.864
              Xterra|         1|   91.6533|        8065.49
           Fifth Ave|         1|   74.0432|       5183.024
                 rio|         1|   26.9693|         3074.5
             Boxster|         1|    3.5716|       235.7256
                T100|         1|   79.2644|      6658.2095
                 GTI|         1|   91.6798|       6509.266
          Grand Prix|         1|   89.9874|       6389.105
                Z4 M|         1|   73.2923|      6596.3066
        Express 1500|         1|   20.9527|      1445.7363
            Santa Fe|         1|   53.6671|       4454.369
               Tahoe|         1|   81.0231|      6805.9404
       Grand Caravan|         1|    3.4131|       242.3301
        Express 2500|         1|    46.538|      3211.1218
            Windstar|         1|    97.046|       8443.002
                  ES|         1|   20.7949|      1434.8481
             R-Class|         1|   60.6558|      4973.7754
                F350|         1|   72.7451|       5092.157
Continental Flying Spur|         1|   11.6175|       778.3725
             Horizon|         1|   69.0466|      4971.3555
                   M|         1|     4.562|        351.274
            Corvette|         1|    59.221|      3967.8071
             Durango|         1|   48.9549|       3328.933
            Frontier|         1|   11.4486|        801.402
        VS Commodore|         1|    48.199|      4145.1143
                 300|         1|   47.2276|      2408.6077
              Accent|         1|   67.5291|      4389.3916
              Malibu|         1|   20.5042|      1578.8234
              Cougar|         1|   32.9957|       2210.712
                  XK|         1|   35.6864|      3140.4033
                 626|         1|   71.0658|      3837.5535
              Sedona|         1|   32.7351|      2717.0132
         TrailBlazer|         1|   68.6731|      5768.5405
                 9-3|         1|   14.4858|       825.6906
             LeBaron|         1|    77.615|      5898.7397
               Amigo|         1|   39.0464|      2538.0159
             Bravada|         1|   48.9831|      3232.8848
               Probe|         1|   84.1768|      6734.1445
              Cooper|         1|   11.3721|      761.93066
                 S40|         1|    78.226|       6492.758
               CTS-V|         1|   81.5989|      5467.1265
              Murano|         1|   49.6063|       3819.685
                  A8|         1|   80.0157|      5201.0205
             C-Class|         1|   24.5272|      1643.3224
            Pacifica|         1|   86.2507|       6900.056
         Continental|         1|   61.0641|      4091.2947
             Tiburon|         1|   63.8227|       5361.107
                  X5|         1|   33.7347|      2968.6536
        Camry Hybrid|         1|   23.1821|      1553.2007
              Pajero|         1|   40.1673|       3213.384
                  S8|         1|   68.8724|       5716.409
           Navigator|         1|   80.8343|       6305.075
             Liberty|         1|   36.4663|       2771.439
                 960|         1|   30.7153|      1750.7721
                 XLR|         1|   37.9043|      3335.5784
        Camry Solara|         1|    55.342|      3707.9138
            Forester|         1|   14.4279|       1009.953
             Vantage|         1|   94.3505|       8114.143
           T100 Xtra|         1|    54.466|       4575.144
         Park Avenue|         1|    51.331|        4106.48
 Range Rover Classic|         1|   63.2577|      5187.1313
            Corvette|         1|   29.0565|      1946.7855
              Nubira|         1|   41.9865|       3274.947
              Taurus|         1|   75.8358|       6370.207
          Mighty Max|         1|   10.2461|       788.9497
            6 Series|         1|    78.876|       4259.304
          Bonneville|         1|   63.5964|      4197.3623
                 C70|         1|   77.6344|       5201.505
           Excursion|         1|    22.353|       1542.357
                Elan|         1|    89.622|       6183.918
                  SC|         1|   54.7135|      4541.2207
      Town & Country|         1|    95.511|      8022.9243
               Elise|         1|   99.8298|      6888.2563
                  RL|         1|    78.952|      6474.0645
              Hombre|         1|   82.7924|      5961.0527
      Continental GT|         1|    3.8619|       258.7473
     Outlander Sport|         1|   97.2082|      7679.4478
              Taurus|         1|   93.6135|       7863.534
              Esteem|         1|    7.3712|       508.6128
        G-Series G30|         1|   34.1714|      2426.1692
                  QX|         1|   52.6704|      4266.3022
              Safari|         1|    4.9692|       412.4436
            Firebird|         1|   45.4306|      3180.1418
            Ram 2500|         1|   45.2399|      3709.6716
                  M3|         1|   42.2647|       3254.382
             Impreza|         1|   25.1621|      1836.8333
              Acadia|         1|   95.2368|       6190.392
                 200|         1|   28.9354|        1446.77
               80/90|         1|   59.8403|       3351.057
        Express 3500|         1|   85.2691|       5883.568
                 V70|         1|   36.2329|      3116.0293
                 S10|         1|   20.6075|      1710.4225
            CL-Class|         1|   89.9942|      6029.6113
            Eldorado|         1|    6.5375|       451.0875
             DeVille|         1|   64.6863|      4398.6685
      Crown Victoria|         1|   65.8472|       4411.762
